Ship_types;Ship_sizes;Fuel_description;Sailed_time_hours;Sailed_distance_nm;Candidate_pg_criticalturn_starts;Candidate_pg_closetoshore;Candidate_coll_head;Candidate_coll_over;Candidate_coll_cross;Freq_pg_criticalturn;Freq_pg_closetoshore;Freq_dg;Freq_coll_head;Freq_coll_over;Freq_coll_cross;Freq_fou;Freq_fire;Total_freq;Freq_pg_criticalturn_fuelspill;Freq_pg_closetoshore_fuelspill;Freq_dg_fuelspill;Freq_coll_head_fuelspill;Freq_coll_over_fuelspill;Freq_coll_cross_fuelspill;Freq_fou_fuelspill;Freq_fire_fuelspill;Freq_fuelspill_total;Freq_pg_criticalturn_cargospill;Freq_pg_closetoshore_cargospill;Freq_dg_cargospill;Freq_coll_head_cargospill;Freq_coll_over_cargospill;Freq_coll_cross_cargospill;Freq_fou_cargospill;Freq_fire_cargospill;Freq_cargospill_total;Freq_spill_total;Spill_Volume_Fuel_Pg_Closetoshore;Spill_Volume_Fuel_Dg;Spill_Volume_Fuel_Pg_Criticalturn;Spill_Volume_Fuel_Collision_Head;Spill_Volume_Fuel_Collision_Over;Spill_Volume_Fuel_Collision_Cross;Spill_Volume_Fuel_Foundering;Spill_Volume_Fuel_Fire;Spill_Volume_Cargo_Pg_Closetoshore;Spill_Volume_Cargo_Dg;Spill_Volume_Cargo_Pg_Criticalturn;Spill_Volume_Cargo_Collision_Head;Spill_Volume_Cargo_Collision_Over;Spill_Volume_Cargo_Collision_Cross;Spill_Volume_Cargo_Foundering;Spill_Volume_Cargo_Fire;M1Fuel;M2Fuel;M3Fuel;M4Fuel;M5Fuel;M1Cargo;M2Cargo;M3Cargo;M4Cargo;M5Cargo;Freq_pg_criticalturn_fatality;Freq_pg_closetoshore_fatality;Freq_dg_fatality;Freq_coll_head_fatality;Freq_coll_over_fatality;Freq_coll_cross_fatality;Freq_fou_fatality;Freq_fire_fatality;Freq_fatality;Total_number_of_fatalities;Year;Analyseomraade
Cruise ships;2. 1000 - 4999 GT;Distillate marine fuels;134.6394444;799.6566667;115.6666667;14.66666667;9.666666667;5;3.333333333;0.000254228;0.000163879;1.00E+00;0.00E+00;0;0;4.73E-06;2.19E-05;0.000713311;5.57E-06;3.59E-06;9.02E-08;2.98E-07;9.18E-07;9.17E-07;1.58E-06;3.13E-07;1.33E-05;0;0;0;0;0;0;0;0;0;1.33E-05;0.000167777;4.22E-06;0.000260274;3.60E-05;0.000110893;0.000110737;0.000236592;9.04E-06;0;0;0;0;0;0;0;0;2.44E-05;1.58E-06;0;0;0;0;0;0;0;0;7.42E-08;4.78E-08;1.20E-09;2.98E-08;9.18E-08;9.18E-08;1.58E-07;3.13E-08;4.50E-07;7.67E-05;Base;1_1
Cruise ships;3. 5000 - 9999 GT;Distillate marine fuels;4.961111111;75.68;7;0;01.mai;0;0;1.49E-05;0;1.00E+00;0.00E+00;0;0;4.47E-07;2.07E-06;2.32E-05;3.26E-07;0;7.81E-10;4.63E-08;0;0;1.49E-07;2.96E-08;5.52E-07;0;0;0;0;0;0;0;0;0;5.52E-07;0;8.05E-08;3.36E-05;1.23E-05;0;0;4.93E-05;1.89E-06;0;0;0;0;0;0;0;0;7.50E-07;4.63E-08;1.49E-07;0;0;0;0;0;0;0;4.35E-09;0;1.04E-11;4.63E-09;0;0;1.49E-08;2.96E-09;2.25E-08;9.46E-06;Base;1_1
Cruise ships;3. 5000 - 9999 GT;Residual marine fuels ISO F 10-80;912.3906481;6716.56;1422.333333;563;154;49.33333333;49.33333333;0.003048442;0.006290724;1.00E+00;0.00E+00;0;0;3.97E-05;0.000183748;0.012980245;6.68E-05;0.000137753;5.05E-07;4.75E-06;9.06E-06;1.36E-05;1.32E-05;2.62E-06;0.000248247;0;0;0;0;0;0;0;0;0;0.000248247;0.014191061;5.20E-05;0.006876891;0.001264792;0.002410913;0.003611262;0.004378749;0.00016736;0;0;0;0;0;0;0;0;0.000447529;2.74E-05;1.32E-05;0;0;0;0;0;0;0;8.90E-07;1.84E-06;6.73E-09;4.75E-07;9.06E-07;9.06E-07;1.32E-06;2.62E-07;5.71E-06;0.001424236;Base;1_1
Cruise ships;3. 5000 - 9999 GT;Residual marine fuels, ISO F >180;0;0;0;0;0;0;0;0;0;1.00E+00;0.00E+00;;;;;2.36E-22;0;0;5.17E-24;;;;;;5.17E-24;0;;0;;;;;;0;5.17E-24;0;5.33E-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.83E-24;0;0;0;0;0;0;0;0;0;0;;6.90E-26;;;;;;;1.44E-23;Base;1_1
Cruise ships;4. 10000 - 24999 GT;Distillate marine fuels;22.4462963;212.5233333;21.33333333;0.333333333;5.666666667;2;2;4.96E-05;3.72E-06;1.00E+00;0.00E+00;4.55E-05;6.82E-05;1.26E-06;5.81E-06;0.000195989;1.09E-06;8.16E-08;3.45E-09;1.75E-07;3.67E-07;5.50E-07;4.19E-07;8.31E-08;2.77E-06;0;0;0;0;0;0;0;0;0;2.77E-06;1.88E-05;7.93E-07;0.000249843;0.000103869;0.000218138;0.000326745;0.000309222;1.18E-05;0;0;0;0;0;0;0;0;1.17E-06;3.34E-06;1.09E-06;4.19E-07;0;0;0;0;0;0;1.45E-08;1.09E-09;4.60E-11;1.75E-08;3.67E-08;3.67E-08;4.19E-08;8.31E-09;1.42E-07;4.68E-05;Base;1_1
Cruise ships;4. 10000 - 24999 GT;Residual marine fuels, ISO F 80-180;115.0569444;992.81;109.3333333;35.33333333;21.33333333;8;7;0.000242776;0.0003948;1.00E+00;0.00E+00;0.000182126;0.000238702;5.87E-06;2.72E-05;0.001175074;5.32E-06;8.65E-06;4.42E-08;6.58E-07;1.47E-06;1.93E-06;1.96E-06;3.88E-07;2.04E-05;0;0;0;0;0;0;0;0;0;2.04E-05;0.001987704;1.02E-05;0.001222308;0.000391037;0.000872553;0.001143608;0.001444541;5.52E-05;0;0;0;0;0;0;0;0;1.40E-05;2.12E-05;4.05E-06;1.96E-06;0;0;0;0;0;0;7.09E-08;1.15E-07;5.90E-10;6.58E-08;1.47E-07;1.47E-07;1.96E-07;3.88E-08;7.09E-07;0.000247815;Base;1_1
Cruise ships;4. 10000 - 24999 GT;Residual marine fuels, ISO F >180;64.05083333;457.48;62;38;9.666666667;2;3.333333333;0.00013513;0.000308029;1.00E+00;0.00E+00;4.55E-05;0.000113668;2.70E-06;1.25E-05;0.00065554;2.96E-06;6.75E-06;2.14E-08;2.98E-07;3.67E-07;9.17E-07;9.01E-07;1.79E-07;1.24E-05;0;0;0;0;0;0;0;0;0;1.24E-05;0.001550838;4.92E-06;0.000680341;0.000177189;0.000218138;0.000544575;0.000665634;2.54E-05;0;0;0;0;0;0;0;0;9.73E-06;1.21E-05;1.58E-06;9.01E-07;0;0;0;0;0;0;3.95E-08;8.99E-08;2.85E-10;2.98E-08;3.67E-08;3.67E-08;9.01E-08;1.79E-08;3.01E-07;0.000126089;Base;1_1
Cruise ships;5. 25000 - 49999 GT;Distillate marine fuels;45.19462963;276.7233333;23;2;11.66666667;3.666666667;4;5.04E-05;2.23E-05;1.00E+00;0.00E+00;8.35E-05;0.000136401;1.64E-06;7.57E-06;0.000346946;1.10E-06;4.89E-07;1.08E-08;3.60E-07;6.73E-07;1.10E-06;5.45E-07;1.08E-07;4.39E-06;0;0;0;0;0;0;0;0;0;4.39E-06;0.000169262;3.74E-06;0.000381646;0.000321714;0.00060164;0.000983112;0.000605722;2.32E-05;0;0;0;0;0;0;0;0;0;1.71E-06;5.74E-06;2.13E-06;5.45E-07;0;0;0;0;0;1.47E-08;6.52E-09;1.44E-10;3.60E-08;6.73E-08;6.73E-08;5.45E-08;1.08E-08;2.43E-07;8.21E-05;Base;1_1
Cruise ships;5. 25000 - 49999 GT;Residual marine fuels, ISO F 80-180;190.0919444;1326.743333;109.3333333;59;45;15.66666667;9.666666667;0.000229034;0.000659241;1.00E+00;0.00E+00;0.000356663;0.000329636;7.84E-06;3.63E-05;0.001794;5.02E-06;1.44E-05;6.83E-08;1.39E-06;2.88E-06;2.66E-06;2.61E-06;5.19E-07;2.96E-05;0;0;0;0;0;0;0;0;0;2.96E-05;0.004993244;2.36E-05;0.001734756;0.001240895;0.002570644;0.002375853;0.002904118;0.000110998;0;0;0;0;0;0;0;0;0;2.00E-05;3.15E-05;6.92E-06;2.61E-06;0;0;0;0;0;6.69E-08;1.92E-07;9.11E-10;1.39E-07;2.88E-07;2.88E-07;2.61E-07;5.19E-08;1.22E-06;0.000429749;Base;1_1
Cruise ships;5. 25000 - 49999 GT;Residual marine fuels, ISO F >180;500.3565741;3414.93;311.6666667;140;110;32.66666667;37.33333333;0.000685575;0.001158648;1.00E+00;0.00E+00;0.00074368;0.001273079;2.02E-05;9.34E-05;0.004403435;1.50E-05;2.54E-05;1.75E-07;3.39E-06;6.00E-06;1.03E-05;6.73E-06;1.33E-06;6.83E-05;0;0;0;0;0;0;0;0;0;6.83E-05;0.008775869;6.05E-05;0.005192702;0.003033299;0.005360066;0.009175708;0.007474966;0.0002857;0;0;0;0;0;0;0;0;0;4.19E-05;7.61E-05;1.97E-05;6.73E-06;0;0;0;0;0;2.00E-07;3.38E-07;2.33E-09;3.39E-07;6.00E-07;6.00E-07;6.73E-07;1.33E-07;2.68E-06;0.001069782;Base;1_1
